image_name,label_set,pano_id,agree_count,disagree_count,notsure_count
columbus/506.jpg,[1],MqZ-MRzVFvSj8ToKyqANww,2,0,0
columbus/375.jpg,[7],MXlvb7DavQcb312SkfidgQ,0,0,0
columbus/24141.jpg,"[1, 7]",ejmLUY-eeIpYKS6g7OzGgQ,1,0,0
columbus/24295.jpg,[1],VBwwtAZg4Zia6KWGRyCtiA,1,0,0
columbus/787.jpg,[1],HvpxE1P_qlHd_L1vYXhyxg,1,0,0
columbus/24012.jpg,[7],za1c0wO0U35bwC0Leuqfhg,0,0,0
columbus/24561.jpg,[7],2Eef0IK1fxlgSADHEQICsQ,0,0,0
columbus/73.jpg,[1],Zg89j6XGliBLN2HFs5NEXw,2,0,0
columbus/16.jpg,"[1, 4]",S4YgRLl2zvMeAB3VxPpV-A,1,0,0
columbus/20166.jpg,[1],WhVnQFsYaNkF6IqggtiFjA,1,0,0
columbus/627.jpg,"[1, 3]",WZ5XhDyGIdh2_SrY_t7kPA,0,1,0
columbus/729.jpg,[1],zevH8BxxwzVJtNnzv86a2Q,1,0,0
columbus/20348.jpg,[7],4em6ukFWol2Ktw2QV5stOA,0,0,0
columbus/24805.jpg,[7],FlSMDoIIvTW0MMe-xkU7Jw,0,0,0
columbus/193.jpg,[4],7vXda3GEzpQ63ish4HuIkg,1,1,0
columbus/380.jpg,[7],j1jGduHI10zrXaaZnwWrhg,0,0,0
columbus/24142.jpg,"[1, 7]",ejmLUY-eeIpYKS6g7OzGgQ,0,0,0
columbus/788.jpg,[1],HvpxE1P_qlHd_L1vYXhyxg,1,0,0
columbus/24037.jpg,[7],sRKqNQ0N5XD9qXIHfMbm2w,0,0,0
columbus/509.jpg,[1],dhoSvt2VFCJBgijPOljFBQ,2,0,0
columbus/24596.jpg,"[3, 4]",WR8RpDS6aGKI_HLyzso8Vg,1,0,0
columbus/24863.jpg,[4],0_cpgryXlplghCRrOz-KPA,1,0,0
columbus/389.jpg,[7],LQfIlmmLv-_VPohLh8F2jw,0,0,0
columbus/74.jpg,[1],Zg89j6XGliBLN2HFs5NEXw,1,0,0
columbus/17.jpg,"[1, 4]",S4YgRLl2zvMeAB3VxPpV-A,1,2,0
columbus/20168.jpg,[1],NgYfvNLM9DB_JoMjuRFX4w,0,0,0
columbus/791.jpg,[1],SoaTRyS2OVyzbG3l26VPpA,1,0,0
columbus/24143.jpg,[7],ejmLUY-eeIpYKS6g7OzGgQ,0,0,0
columbus/195.jpg,[4],GIKUCtDYs1698IpbGuj_sg,1,0,1
columbus/731.jpg,[1],zevH8BxxwzVJtNnzv86a2Q,1,0,0
columbus/20354.jpg,[1],WfCm-rLvsPKgNaraCEHBPQ,0,0,0
columbus/24842.jpg,[1],BSjyxGR8zERMPSTWUkaetg,0,0,0
columbus/24620.jpg,[4],YMYfMHTBuXl3FM4XGJ2gxA,1,0,0
columbus/24870.jpg,[7],khVmEpqgkQ6gAj-EE2kuVg,0,0,0
columbus/511.jpg,[1],GDAua8bbluAiNF3xFaP01w,1,0,0
columbus/376.jpg,[7],MXlvb7DavQcb312SkfidgQ,0,0,0
columbus/24380.jpg,[1],cxGsvF4-a8G01sj0RL9TbQ,0,0,0
columbus/793.jpg,[1],SoaTRyS2OVyzbG3l26VPpA,1,0,0
columbus/24145.jpg,[7],ejmLUY-eeIpYKS6g7OzGgQ,0,0,0
columbus/24042.jpg,[7],HJZiUujCrUU3Xlf2HexWBQ,0,0,0
columbus/18.jpg,"[1, 4]",S4YgRLl2zvMeAB3VxPpV-A,1,0,0
columbus/76.jpg,[1],Zg89j6XGliBLN2HFs5NEXw,1,0,0
columbus/20171.jpg,[1],XioWCM3bl4qlbO0i_3nLdQ,0,1,0
columbus/630.jpg,[1],WZ5XhDyGIdh2_SrY_t7kPA,1,0,0
columbus/196.jpg,"[1, 3]",GIKUCtDYs1698IpbGuj_sg,1,0,0
columbus/554.jpg,[1],PBSDrtIs_MQ4hBzVCCdZZg,1,0,0
columbus/20358.jpg,[1],ZBh-LiogGTPnDPpMG7UIfg,1,0,0
columbus/24631.jpg,[4],FHRBN0MMHiiTIurMnp53Fw,1,0,0
columbus/404.jpg,[1],eYVB-Ffd92_4_Qai1JbWAA,1,0,0
columbus/802.jpg,[3],HseiZGjtU_3BmaTNzggiAA,1,0,0
columbus/20519.jpg,[7],R1zvkcQ-MtHOuk5iv5HoKQ,0,0,0
columbus/24046.jpg,[7],dluRT48m2qhHfEiyVSOjFA,0,0,0
columbus/658.jpg,[1],Ai_8YrBwX_x5LwDDEv8XeA,0,0,0
columbus/512.jpg,[1],GDAua8bbluAiNF3xFaP01w,0,0,0
columbus/293.jpg,[4],LaiCo5KC8YfGyfgpas1exg,1,1,0
columbus/395.jpg,[7],N8kIFV9-8NGdE7y-1yRcRw,0,0,0
columbus/19.jpg,"[1, 4]",S4YgRLl2zvMeAB3VxPpV-A,1,2,0
columbus/77.jpg,[1],Zg89j6XGliBLN2HFs5NEXw,1,0,0
